Year,Case,Percentage
0,Pre-blight,11.8797493
10,Pre-blight,6.221107302
20,Pre-blight,6.280243769
30,Pre-blight,6.757674686
40,Pre-blight,7.506123091
50,Pre-blight,8.780065696
60,Pre-blight,10.31693357
70,Pre-blight,12.2936234
80,Pre-blight,14.87490215
90,Pre-blight,17.14709568
100,Pre-blight,19.9136686
110,Pre-blight,24.65212045
120,Pre-blight,29.8715076
130,Pre-blight,36.48160153
140,Pre-blight,39.53036716
150,Pre-blight,42.45442885
160,Pre-blight,45.19508994
170,Pre-blight,47.8964484
180,Pre-blight,48.70500079
190,Pre-blight,52.30841743
200,Pre-blight,54.91874856
210,Pre-blight,55.05333695
220,Pre-blight,56.76685585
230,Pre-blight,59.03772962
240,Pre-blight,57.97422088
250,Pre-blight,56.47614343
260,Pre-blight,54.93046768
270,Pre-blight,53.98659391
280,Pre-blight,51.25279075
290,Pre-blight,50.01929893
300,Pre-blight,48.09435511
310,Pre-blight,46.59940217
320,Pre-blight,44.30728815
330,Pre-blight,43.72297098
340,Pre-blight,41.40540177
350,Pre-blight,40.93711262
360,Pre-blight,41.53092337
370,Pre-blight,41.67713646
380,Pre-blight,42.42291432
390,Pre-blight,40.91034577
400,Pre-blight,40.37772275
410,Pre-blight,39.18267195
420,Pre-blight,38.87439135
430,Pre-blight,40.58045247
440,Pre-blight,38.01617236
450,Pre-blight,39.25472034
460,Pre-blight,36.49120104
470,Pre-blight,33.95406791
480,Pre-blight,35.32531382
490,Pre-blight,33.64314465
500,Pre-blight,33.12818878
0,Present,15.2077
10,Present,6.7353
20,Present,6.624
30,Present,6.8765
40,Present,7.4422
50,Present,8.4262
60,Present,9.982
70,Present,11.7812
80,Present,14.2371
90,Present,17.3182
100,Present,20.8044
110,Present,25.6767
120,Present,29.1218
130,Present,33.077
140,Present,36.1874
150,Present,39.7756
160,Present,42.8336
170,Present,49.9464
180,Present,53.0584
190,Present,56.3194
200,Present,58.9788
210,Present,57.7772
220,Present,61.8734
230,Present,61.9917
240,Present,62.621
250,Present,64.1082
260,Present,65.4993
270,Present,65.5935
280,Present,65.4088
290,Present,65.9919
300,Present,63.4175
310,Present,59.9142
320,Present,59.4508
330,Present,62.3905
340,Present,62.0244
350,Present,61.134
360,Present,60.1061
370,Present,59.6341
380,Present,60.1172
390,Present,59.2817
400,Present,56.779
410,Present,56.1681
420,Present,55.1837
430,Present,55.939
440,Present,58.5983
450,Present,57.4122
460,Present,56.4193
470,Present,56.2107
480,Present,54.6695
490,Present,54.2055
500,Present,54.134
