Year,Shaded leaf area,Sunlit leaf area
0,0,0
10,0.649998,0.116673872
20,0.7675863,0.088287318
30,0.75767834,0.08745451
40,0.785872406,0.093905761
50,0.884149507,0.106607463
60,1.028321107,0.133675998
70,1.175118395,0.17395248
80,1.370372581,0.243205759
90,1.55399033,0.33851436
100,1.782571108,0.451921375
110,1.908857038,0.620433733
120,2.128316544,0.73782629
130,2.24749222,0.910757728
140,2.306253238,1.052452574
150,2.31719582,1.166624528
160,2.291419133,1.297265401
170,2.448572321,1.431855882
180,2.809224033,1.586007786
190,3.084411697,1.632101572
200,3.282187236,1.723737368
210,3.187485346,1.647584736
220,3.251637818,1.75643624
230,3.19354831,1.741833107
240,3.334952723,1.706480642
250,3.354304729,1.652079894
260,3.451134078,1.697846736
270,3.508586108,1.735674149
280,3.599708462,1.68987039
290,3.582009663,1.700958485
300,3.433363604,1.580102819
310,3.157925408,1.403909192
320,2.989753454,1.408297353
330,3.06249202,1.569142542
340,3.147802258,1.492154334
350,3.057652258,1.463812704
360,3.002080746,1.474463673
370,2.820426348,1.463011294
380,2.863027614,1.432764121
390,2.77529404,1.450519822
400,2.786507935,1.410285547
410,2.683289496,1.392545018
420,2.682827099,1.343919311
430,2.790709188,1.446788602
440,2.865107817,1.488420499
450,2.861297111,1.482433566
460,2.838985084,1.461471239
470,2.845510692,1.472253138
480,2.8316884,1.473288382
490,2.705983823,1.430820862
500,2.762916879,1.440386594
